INFO - 2024-07-23 18:15:49 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:49 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:49 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:50 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:50 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:50 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:50 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:50 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:50 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:51 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:51 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:51 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:51 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:52 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:52 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:52 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:52 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:52 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:52 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:53 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:53 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:53 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:53 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:54 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:54 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:54 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:54 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:54 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:54 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:55 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
INFO - 2024-07-23 18:15:55 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (154 bytes)
INFO - 2024-07-23 18:15:55 - Received PUBLISH (d0, q0, r0, m0), '/topic/logging/filesystem', ...  (75 bytes)
